Location,Temperature,Description,Wind,Date,Visibility,Pressure,Humidity,Dew point
"Weather in Atlanta, Georgia, USA",Forecast: 79 / 63 °F,Clear.,No wind,"Jun 2, 2026 at 3:53 am",8 mi,"29.95 ""Hg",97%,66 °F
"Weather in Istanbul, Turkey",Forecast: 83 / 62 °F,Passing clouds.,6 mph ↑ from South,"Jun 2, 2026 at 10:50 am",N/A,"29.98 ""Hg",65%,61 °F
"Weather in Riyadh, Saudi Arabia",Forecast: 114 / 80 °F,Sunny.,6 mph ↑ from Southwest,"Jun 2, 2026 at 10:00 am",10 mi,"29.95 ""Hg (28.09 ""Hg at 590m altitude)",6%,25 °F
"Weather in Auckland, New Zealand",Forecast: 63 / 51 °F,Passing clouds.,7 mph ↑ from Northeast,"Jun 2, 2026 at 8:00 pm",N/A,"29.74 ""Hg",100%,59 °F
"Weather in Jakarta, Jakarta Special Capital Region, Indonesia",Forecast: 89 / 75 °F,Partly sunny.,11 mph ↑ from Northeast,"Jun 2, 2026 at 2:00 pm",5 mi,"29.80 ""Hg",60%,74 °F
"Weather in Rome, Italy",Forecast: 81 / 65 °F,Passing clouds.,5 mph ↑ from Southeast,"Jun 2, 2026 at 9:50 am",N/A,"29.95 ""Hg",65%,64 °F
"Weather in Baghdad, Iraq",Forecast: 110 / 80 °F,Passing clouds.,4 mph ↑ from Northeast,"Jun 2, 2026 at 6:00 am",6 mi,"29.82 ""Hg",32%,44 °F
"Weather in Jerusalem, Israel",Forecast: 86 / 60 °F,Mild.,2 mph ↑ from West,"Jun 2, 2026 at 10:36 am",N/A,"27.26 ""Hg (24.97 ""Hg at 769m altitude)",31%,45 °F
"Weather in Salt Lake City, Utah, USA",Forecast: 83 / 56 °F,Passing clouds.,5 mph ↑ from Northwest,"Jun 2, 2026 at 1:54 am",10 mi,"29.94 ""Hg (25.64 ""Hg at 1312m altitude)",50%,42 °F
"Weather in Bangkok, Thailand",Forecast: 94 / 79 °F,Light rain. Partly sunny.,7 mph ↑ from North,"Jun 2, 2026 at 3:00 pm",4 mi,"29.65 ""Hg",63%,75 °F
"Weather in Johannesburg, South Africa",Forecast: 63 / 42 °F,Sunny.,9 mph ↑ from Southwest,"Jun 2, 2026 at 8:00 am",6 mi,N/A,67%,42 °F
"Weather in San Francisco, California, USA",Forecast: 64 / 53 °F,Passing clouds.,15 mph ↑ from Northwest,"Jun 2, 2026 at 12:56 am",10 mi,"29.99 ""Hg",90%,51 °F
"Weather in Barcelona, Barcelona, Spain",Forecast: 76 / 63 °F,Passing clouds.,7 mph ↑ from Southwest,"Jun 2, 2026 at 10:00 am",N/A,"29.89 ""Hg",83%,70 °F
"Weather in Karachi, Sindh, Pakistan",Forecast: 92 / 85 °F,Scattered clouds.,3 mph ↑ from Southwest,"Jun 2, 2026 at 1:00 pm",3 mi,"29.71 ""Hg",47%,72 °F
"Weather in San Juan, Puerto Rico",Forecast: 90 / 78 °F,Passing clouds.,No wind,"Jun 2, 2026 at 3:56 am",8 mi,"30.03 ""Hg",82%,73 °F
"Weather in Beijing, Beijing Municipality, China",Forecast: 83 / 67 °F,Hot.,7 mph ↑ from South,"Jun 2, 2026 at 2:00 pm",9 mi,"29.50 ""Hg",47%,67 °F
"Weather in Kathmandu, Nepal",Forecast: 86 / 61 °F,Drizzle. Broken clouds.,12 mph ↑ from Northwest,"Jun 2, 2026 at 1:45 pm",4 mi,"29.95 ""Hg (25.80 ""Hg at 1305m altitude)",58%,63 °F
"Weather in San Salvador, El Salvador",Forecast: 83 / 69 °F,Passing clouds.,5 mph ↑ from Northeast,"Jun 2, 2026 at 2:00 am",N/A,"29.80 ""Hg (27.63 ""Hg at 667m altitude)",89%,79 °F
"Weather in Belgrade, Serbia",Forecast: 84 / 60 °F,Broken clouds.,13 mph ↑ from West,"Jun 2, 2026 at 10:00 am",N/A,"29.98 ""Hg",64%,55 °F
"Weather in Kingston, Jamaica",Forecast: 91 / 79 °F,Warm.,22 mph ↑ from Southeast,"Jun 2, 2026 at 2:00 am",N/A,"29.95 ""Hg",78%,74 °F
"Weather in Santiago, Chile",Forecast: 67 / 44 °F,Quite cool.,3 mph ↑ from Northwest,"Jun 2, 2026 at 4:00 am",1 mi,"30.04 ""Hg (27.99 ""Hg at 576m altitude)",93%,41 °F
"Weather in Bengaluru, Karnataka, India",Forecast: 85 / 69 °F,Scattered clouds.,5 mph ↑ from Northwest,"Jun 2, 2026 at 1:30 pm",5 mi,"29.92 ""Hg (27.12 ""Hg at 876m altitude)",59%,72 °F
"Weather in Kinshasa, Congo Dem. Rep.",Forecast: 90 / 71 °F,Partly sunny.,5 mph ↑ from Southwest,"Jun 2, 2026 at 9:00 am",4 mi,"30.01 ""Hg",79%,72 °F
"Weather in Santo Domingo, Dominican Republic",Forecast: 87 / 75 °F,Passing clouds.,No wind,"Jun 2, 2026 at 2:00 am",9 mi,"30.02 ""Hg",88%,76 °F
"Weather in Berlin, Germany",Forecast: 66 / 58 °F,Passing clouds.,5 mph ↑ from Southeast,"Jun 2, 2026 at 9:50 am",N/A,"29.89 ""Hg",60%,55 °F
"Weather in Kiritimati, Christmas Island, Kiribati",Forecast: 88 / 81 °F,Passing clouds.,No wind,"Jun 2, 2026 at 8:00 pm",N/A,"29.80 ""Hg",84%,79 °F
"Weather in São Paulo, São Paulo, Brazil",Forecast: 67 / 53 °F,Clear.,5 mph ↑ from Southeast,"Jun 2, 2026 at 5:00 am",10 mi,"30.24 ""Hg (27.58 ""Hg at 765m altitude)",94%,50 °F
"Weather in Bogota, Colombia",Forecast: 65 / 52 °F,Passing clouds.,3 mph ↑ from Northeast,"Jun 2, 2026 at 3:00 am",N/A,"30.36 ""Hg (22.18 ""Hg at 2618m altitude)",100%,54 °F
"Weather in Kolkata, West Bengal, India",Forecast: 98 / 83 °F,Scattered clouds.,6 mph ↑ from Southeast,"Jun 2, 2026 at 1:30 pm",2 mi,"29.65 ""Hg",56%,77 °F
"Weather in Seattle, Washington, USA",Forecast: 82 / 53 °F,Clear.,No wind,"Jun 2, 2026 at 12:53 am",10 mi,"30.05 ""Hg",58%,47 °F
"Weather in Boston, Massachusetts, USA",Forecast: 74 / 50 °F,Clear.,7 mph ↑ from West,"Jun 2, 2026 at 3:54 am",10 mi,"30.11 ""Hg",66%,42 °F
"Weather in Kuala Lumpur, Malaysia",Forecast: 92 / 77 °F,Passing clouds.,6 mph ↑ from Southwest,"Jun 2, 2026 at 4:00 pm",N/A,"29.74 ""Hg",59%,77 °F
"Weather in Seoul, South Korea",Forecast: 87 / 62 °F,Passing clouds.,10 mph ↑ from Northwest,"Jun 2, 2026 at 5:00 pm",N/A,"29.65 ""Hg",49%,66 °F
"Weather in Brasilia, Distrito Federal, Brazil",Forecast: 77 / 57 °F,Clear.,No wind,"Jun 2, 2026 at 5:00 am",10 mi,"30.15 ""Hg (26.49 ""Hg at 1091m altitude)",88%,55 °F
"Weather in Kuwait City, Kuwait",Forecast: 106 / 87 °F,Sunny.,18 mph ↑ from Northeast,"Jun 2, 2026 at 9:00 am",6 mi,"29.80 ""Hg",15%,47 °F
"Weather in Shanghai, Shanghai Municipality, China",Forecast: 91 / 75 °F,Sunny.,1 mph ↑ from North,"Jun 2, 2026 at 4:00 pm",10 mi,"29.59 ""Hg",41%,64 °F
"Weather in Brisbane, Queensland, Australia",Forecast: 80 / 56 °F,Cool.,2 mph ↑ from North,"Jun 2, 2026 at 5:30 pm",N/A,"29.61 ""Hg",67%,56 °F
"Weather in Kyiv, Ukraine",Forecast: 60 / 56 °F,Scattered clouds.,2 mph ↑ from South,"Jun 2, 2026 at 9:00 am",13 mi,"30.09 ""Hg",50%,46 °F
"Weather in Singapore, Singapore",Forecast: 91 / 79 °F,Partly sunny.,12 mph ↑ from Southwest,"Jun 2, 2026 at 4:00 pm",N/A,"29.77 ""Hg",63%,77 °F
"Weather in Brussels, Belgium",Forecast: 66 / 56 °F,Sprinkles. Passing clouds.,10 mph ↑ from South,"Jun 2, 2026 at 9:50 am",N/A,"29.71 ""Hg",88%,57 °F
"Weather in La Paz, Bolivia",Forecast: 59 / 29 °F,Passing clouds.,N/A,"Jun 2, 2026 at 2:00 am",9 mi,N/A,62%,18 °F
"Weather in Sofia, Bulgaria",Forecast: 80 / 54 °F,Thundershowers. Overcast.,4 mph ↑ from West,"Jun 2, 2026 at 9:00 am",1 mi,"29.99 ""Hg (28.09 ""Hg at 551m altitude)",94%,56 °F
"Weather in Bucharest, Romania",Forecast: 82 / 57 °F,Partly sunny.,10 mph ↑ from Southwest,"Jun 2, 2026 at 11:00 am",N/A,"29.92 ""Hg",78%,61 °F
"Weather in Lagos, Lagos, Nigeria",Forecast: 90 / 74 °F,Passing clouds.,2 mph ↑ from North,"Jun 2, 2026 at 8:00 am",4 mi,"29.98 ""Hg",89%,79 °F
"Weather in St. John's, Newfoundland and Labrador, Canada",Forecast: 46 / 34 °F,Broken clouds.,13 mph ↑ from Northwest,"Jun 2, 2026 at 5:30 am",15 mi,"30.01 ""Hg",100%,34 °F
"Weather in Budapest, Hungary",Forecast: 72 / 58 °F,Scattered clouds.,2 mph ↑ from North,"Jun 2, 2026 at 10:00 am",N/A,"29.95 ""Hg",60%,55 °F
"Weather in Lahore, Pakistan",Forecast: 106 / 81 °F,Clear.,6 mph ↑ from East,"Jun 2, 2026 at 1:00 pm",4 mi,"29.74 ""Hg",25%,59 °F
"Weather in Stockholm, Sweden",Forecast: 71 / 53 °F,Passing clouds.,8 mph ↑ from Southwest,"Jun 2, 2026 at 9:50 am",N/A,"29.86 ""Hg",52%,48 °F
"Weather in Buenos Aires, Argentina",Forecast: 58 / 50 °F,Passing clouds.,9 mph ↑ from East,"Jun 2, 2026 at 5:00 am",N/A,"30.33 ""Hg",88%,50 °F
"Weather in Las Vegas, Nevada, USA",Forecast: 100 / 74 °F,Clear.,16 mph ↑ from South,"Jun 1, 2026 at 10:56 pm",10 mi,"29.78 ""Hg (27.75 ""Hg at 629m altitude)",11%,27 °F
"Weather in Suva, Fiji",Forecast: 83 / 73 °F,Passing clouds.,N/A,"Jun 2, 2026 at 6:00 pm",13 mi,"29.92 ""Hg",89%,74 °F
"Weather in Cairo, Egypt",Forecast: 103 / 78 °F,Passing clouds.,6 mph ↑ from Northeast,"Jun 2, 2026 at 11:00 am",N/A,"30.01 ""Hg",20%,43 °F
"Weather in Lima, Lima, Peru",Forecast: 74 / 64 °F,Overcast.,16 mph ↑ from Southeast,"Jun 2, 2026 at 1:00 am",6 mi,"29.88 ""Hg",88%,66 °F
"Weather in Sydney, New South Wales, Australia",Forecast: 69 / 57 °F,Passing clouds.,18 mph ↑ from North,"Jun 2, 2026 at 6:00 pm",N/A,"29.56 ""Hg",68%,50 °F
"Weather in Calgary, Alberta, Canada",Forecast: 48 / 43 °F,Light rain. Fog.,26 mph ↑ from Northwest,"Jun 2, 2026 at 2:00 am",4 mi,"30.24 ""Hg (26.57 ""Hg at 1063m altitude)",93%,43 °F
"Weather in Lisbon, Portugal",Forecast: 79 / 60 °F,Partly sunny.,16 mph ↑ from Northwest,"Jun 2, 2026 at 9:00 am",N/A,"30.15 ""Hg",88%,61 °F
"Weather in Taipei, Taiwan",Forecast: 98 / 76 °F,Scattered clouds.,9 mph ↑ from Northwest,"Jun 2, 2026 at 4:00 pm",N/A,"29.68 ""Hg",56%,73 °F
"Weather in Canberra, Australian Capital Territory, Australia",Forecast: 52 / 46 °F,Rain. Overcast.,20 mph ↑ from Northwest,"Jun 2, 2026 at 6:00 pm",N/A,"29.50 ""Hg (27.52 ""Hg at 577m altitude)",100%,50 °F
"Weather in London, England, United Kingdom",Forecast: 55 / 48 °F,Light rain. Partly sunny.,9 mph ↑ from West,"Jun 2, 2026 at 8:50 am",5 mi,"29.62 ""Hg",94%,57 °F
"Weather in Tallinn, Estonia",Forecast: 69 / 50 °F,Passing clouds.,5 mph ↑ from Northwest,"Jun 2, 2026 at 10:50 am",N/A,"29.89 ""Hg",64%,50 °F
"Weather in Cape Town, South Africa",Forecast: 64 / 57 °F,Fog.,3 mph ↑ from North,"Jun 2, 2026 at 9:24 am",2 mi,"30.18 ""Hg",100%,59 °F
"Weather in Los Angeles, California, USA",Forecast: 75 / 58 °F,Overcast.,No wind,"Jun 2, 2026 at 12:53 am",10 mi,"30.01 ""Hg",81%,57 °F
"Weather in Tashkent, Uzbekistan",Forecast: 93 / 66 °F,Partly sunny.,2 mph ↑ from Northwest,"Jun 2, 2026 at 11:00 am",6 mi,"29.75 ""Hg",31%,56 °F
"Weather in Caracas, Venezuela",Forecast: 82 / 68 °F,Passing clouds.,7 mph ↑ from East,"Jun 2, 2026 at 4:00 am",N/A,"29.89 ""Hg (27.05 ""Hg at 875m altitude)",100%,79 °F
"Weather in Madrid, Madrid, Spain",Forecast: 90 / 58 °F,Passing clouds.,9 mph ↑ from Northwest,"Jun 2, 2026 at 10:00 am",N/A,"30.04 ""Hg (27.84 ""Hg at 658m altitude)",44%,50 °F
"Weather in Tegucigalpa, Honduras",Forecast: 85 / 66 °F,Passing clouds.,5 mph ↑ from West,"Jun 2, 2026 at 2:00 am",N/A,"30.04 ""Hg (26.59 ""Hg at 1054m altitude)",83%,66 °F
"Weather in Casablanca, Morocco",Forecast: 76 / 64 °F,Partly sunny.,3 mph ↑ from North,"Jun 2, 2026 at 9:00 am",3 mi,"30.09 ""Hg",73%,61 °F
"Weather in Managua, Nicaragua",Forecast: 97 / 78 °F,Passing clouds.,12 mph ↑ from Southeast,"Jun 1, 2026 at 11:00 pm",N/A,"29.86 ""Hg",74%,75 °F
"Weather in Tehran, Iran",Forecast: 90 / 68 °F,Passing clouds.,22 mph ↑ from West,"Jun 2, 2026 at 11:30 am",N/A,"30.04 ""Hg (26.29 ""Hg at 1179m altitude)",10%,23 °F
"Weather in Chicago, Illinois, USA",Forecast: 65 / 56 °F,Clear.,5 mph ↑ from Northeast,"Jun 2, 2026 at 2:53 am",10 mi,"30.19 ""Hg",67%,45 °F
"Weather in Manila, Philippines",Forecast: 89 / 80 °F,Light rain. Overcast.,4 mph ↑ from West,"Jun 2, 2026 at 2:00 pm",5 mi,"29.74 ""Hg",76%,77 °F
"Weather in Tokyo, Japan",Forecast: 70 / 64 °F,Partly sunny.,12 mph ↑ from Southwest,"Jun 2, 2026 at 4:00 pm",N/A,"29.95 ""Hg",74%,64 °F
"Weather in Copenhagen, Denmark",Forecast: 64 / 55 °F,Scattered clouds.,12 mph ↑ from Southeast,"Jun 2, 2026 at 9:50 am",N/A,"29.86 ""Hg",73%,55 °F
"Weather in Melbourne, Victoria, Australia",Forecast: 57 / 51 °F,Overcast.,9 mph ↑ from North,"Jun 2, 2026 at 6:00 pm",N/A,"29.36 ""Hg",77%,50 °F
"Weather in Toronto, Ontario, Canada",Forecast: 75 / 54 °F,Clear.,3 mph ↑ from North,"Jun 2, 2026 at 4:00 am",15 mi,"30.23 ""Hg",67%,43 °F
"Weather in Dallas, Texas, USA",Forecast: 96 / 72 °F,Passing clouds.,3 mph ↑ from South,"Jun 2, 2026 at 2:53 am",10 mi,"29.94 ""Hg",67%,70 °F
"Weather in Mexico City, Ciudad de México, Mexico",Forecast: 78 / 56 °F,Partly cloudy.,9 mph ↑ from Northeast,"Jun 2, 2026 at 1:42 am",10 mi,"30.30 ""Hg (23.29 ""Hg at 2241m altitude)",64%,52 °F
"Weather in Vancouver, British Columbia, Canada",Forecast: 80 / 58 °F,Passing clouds.,5 mph ↑ from Southeast,"Jun 2, 2026 at 1:00 am",20 mi,"30.07 ""Hg",59%,45 °F
"Weather in Dar es Salaam, Tanzania",Forecast: 86 / 74 °F,Scattered clouds.,8 mph ↑ from South,"Jun 2, 2026 at 10:00 am",N/A,"30.09 ""Hg",89%,75 °F
"Weather in Miami, Florida, USA",Forecast: 91 / 78 °F,Partly cloudy.,3 mph ↑ from West,"Jun 2, 2026 at 3:53 am",10 mi,"29.94 ""Hg",84%,74 °F
"Weather in Vienna, Vienna, Austria",Forecast: 67 / 56 °F,Passing clouds.,2 mph ↑ from North,"Jun 2, 2026 at 9:50 am",N/A,"29.95 ""Hg",57%,55 °F
"Weather in Darwin, Northern Territory, Australia",Forecast: 86 / 69 °F,Sunny.,9 mph ↑ from North,"Jun 2, 2026 at 5:30 pm",N/A,"29.86 ""Hg",70%,72 °F
"Weather in Minneapolis, Minnesota, USA",Forecast: 82 / 59 °F,Clear.,7 mph ↑ from Northeast,"Jun 2, 2026 at 12:53 am",10 mi,"30.21 ""Hg",63%,53 °F
"Weather in Warsaw, Poland",Forecast: 73 / 55 °F,Scattered clouds.,2 mph ↑ from North,"Jun 2, 2026 at 10:00 am",N/A,"29.95 ""Hg",68%,54 °F
"Weather in Denver, Colorado, USA",Forecast: 80 / 54 °F,Partly cloudy.,28 mph ↑ from Southeast,"Jun 1, 2026 at 11:58 pm",10 mi,"29.98 ""Hg (24.82 ""Hg at 1593m altitude)",69%,49 °F
"Weather in Minsk, Belarus",Forecast: 69 / 47 °F,Passing clouds.,6 mph ↑ from Southwest,"Jun 2, 2026 at 10:30 am",N/A,"30.04 ""Hg",43%,45 °F
"Weather in Washington DC, USA",Forecast: 76 / 53 °F,Passing clouds.,8 mph ↑ from Northeast,"Jun 2, 2026 at 3:52 am",10 mi,"30.17 ""Hg",72%,48 °F
"Weather in Detroit, Michigan, USA",Forecast: 76 / 52 °F,Clear.,5 mph ↑ from North,"Jun 2, 2026 at 3:53 am",10 mi,"30.23 ""Hg",62%,41 °F
"Weather in Montevideo, Uruguay",Forecast: 62 / 48 °F,Quite cool.,No wind,"Jun 2, 2026 at 5:00 am",1 mi,"30.36 ""Hg",93%,43 °F
"Weather in Winnipeg, Manitoba, Canada",Forecast: 85 / 61 °F,Mild.,5 mph ↑ from Northwest,"Jun 2, 2026 at 3:00 am",N/A,"30.18 ""Hg",57%,52 °F
"Weather in Dhaka, Bangladesh",Forecast: 99 / 82 °F,Scattered clouds.,4 mph ↑ from West,"Jun 2, 2026 at 12:00 pm",4 mi,"29.73 ""Hg",53%,75 °F
"Weather in Montréal, Quebec, Canada",Forecast: 74 / 50 °F,Clear.,3 mph ↑ from West,"Jun 2, 2026 at 4:00 am",15 mi,"30.13 ""Hg",82%,46 °F
"Weather in Yangon, Myanmar",Forecast: 93 / 79 °F,Partly sunny.,5 mph ↑ from Northwest,"Jun 2, 2026 at 2:30 pm",4 mi,"29.68 ""Hg",79%,81 °F
"Weather in Doha, Qatar",Forecast: 112 / 89 °F,Passing clouds.,10 mph ↑ from Northwest,"Jun 2, 2026 at 10:30 am",N/A,"29.71 ""Hg",18%,55 °F
"Weather in Moscow, Russia",Forecast: 73 / 55 °F,Overcast.,4 mph ↑ from Northwest,"Jun 2, 2026 at 9:00 am",13 mi,"30.00 ""Hg",62%,46 °F
"Weather in Zagreb, Croatia",Forecast: 65 / 53 °F,Scattered clouds.,5 mph ↑ from Southwest,"Jun 2, 2026 at 10:00 am",N/A,"29.98 ""Hg",88%,59 °F
"Weather in Dubai, Dubai, United Arab Emirates",Forecast: 99 / 88 °F,Sunny.,13 mph ↑ from West,"Jun 2, 2026 at 12:00 pm",10 mi,"29.65 ""Hg",40%,72 °F
"Weather in Mumbai, Maharashtra, India",Forecast: 91 / 85 °F,Scattered clouds.,No wind,"Jun 2, 2026 at 8:30 am",1 mi,"29.79 ""Hg",81%,81 °F
"Weather in Zürich, Zurich, Switzerland",Forecast: 67 / 52 °F,Sunny.,2 mph ↑ from North,"Jun 2, 2026 at 9:50 am",10 mi,"29.89 ""Hg",64%,55 °F
"Weather in Dublin, Ireland",Forecast: 62 / 50 °F,Broken clouds.,12 mph ↑ from West,"Jun 2, 2026 at 9:00 am",N/A,"29.56 ""Hg",94%,54 °F
"Weather in Nairobi, Kenya",Forecast: 74 / 57 °F,Partly sunny.,7 mph ↑ from Southeast,"Jun 2, 2026 at 10:00 am",N/A,"30.36 ""Hg (24.93 ""Hg at 1680m altitude)",83%,59 °F
